name,key
"	桂城百花时代广场地下车场	",pac_ydt
"	圆方广场	",pac_ydt
"	金百福广场	",pac_ydt
"	水云天	",pac_ydt
"	力迅城筑（北区）	",pac_ydt
"	佰德广场地下车场	",pac_ydt
"	力迅雅筑(南区)	",pac_ydt
"	佰德广场露天车场	",pac_ydt
"	湖景酒店南车场	",pac_ydt
"	湖景酒店北车场	",pac_ydt
"	上沙村C地块	",pac_ydt
"	上沙村停车场01	",pac_ydt
"	满东酒楼停车场	",pac_ydt
"	高明华盈广场	",pac_ydt
"	紫金城二期	",pac_ydt
"	紫金城一期	",pac_ydt
"	汇翠公馆A座停车场	",pac_ydt
"	汇翠公馆C座停车场	",pac_ydt
"	东豪酒家	",pac_ydt
"	聚龙北A31停车场	",pac_ydt
"	俊彦广场	",pac_ydt
"	中海万锦熙岸停车场	",pac_ydt
"	下沙村	",pac_ydt
"	西樵四季广场	",pac_ydt
"	凯国堡商务酒店	",pac_ydt
"	保利紫山商业街	",pac_ydt
"	美新幼儿园停车场	",pac_ydt
"	同济东路充电站	",pac_ydt
"	美盛广场	",pac_ydt
"	新顺宝大酒楼	",pac_ydt
"	新顺宝绿化地块	",pac_ydt
"	桂平美食城	",pac_ydt
"	西樵崇南安居房	",pac_ydt
"	下沙工业区	",pac_ydt
"	西樵四季广场P1停车场	",pac_ydt
"	惠景书城	",pac_ydt
"	维也纳酒店（松岗中心店）	",pac_ydt
"	乐从电创时代中心	",pac_ydt
"	皇都酒店	",pac_ydt
"	锦绣香江大酒店	",pac_ydt
"	北大步村	",pac_ydt
"	海山市场	",pac_ydt
"	智博幼儿园	",pac_ydt
"	名创钢材仓储园	",pac_ydt
"	石头村	",pac_ydt
"	御龙酒店	",pac_ydt
"	大步开发区桥底停车场	",pac_ydt
"	大沥综合楼	",pac_ydt
"	黄岐宜尚酒店	",pac_ydt
"	西樵恒邦广场	",pac_ydt
"	大步村	",pac_ydt
"	肯德基(罗村DT餐厅）	",pac_ydt
"	嘉诚酒楼	",pac_ydt
"	大沥富丽金酒店	",pac_ydt
"	赢富中心	",pac_ydt
"	万民广场（鸦岗店）	",pac_ydt
"	大沥一方酒店	",pac_ydt
"	太港城	",pac_ydt
"	番禺合益源商业楼	",pac_ydt
"	商信大厦	",pac_ydt
"	时代云图北区1号车场	",pac_ydt
"	时代云图北区2号车场	",pac_ydt
"	富星广场	",pac_ydt
"	时代云图南区停车场	",pac_ydt
"	华泓商业广场	",pac_ydt
"	永安广场	",pac_ydt
"	古岗村	",pac_ydt
"	高明国邦御林湖	",pac_ydt
"	西樵世纪金辉大酒店	",pac_ydt
"	桂城总商会	",pac_ydt
"	渔业综合楼停车场	",pac_ydt
"	大步工业区	",pac_ydt
"	鑫起点高新科技孵化园	",pac_ydt
"	狮山悦莹楼	",pac_ydt
"	三山维也纳酒店	",pac_ydt
"	三水乐平小迳村	",pac_ydt
"	磡头商业街	",pac_ydt
"	夏漖粮园停车场	",pac_ydt
"	丹桂美食城	",pac_ydt
"	海纳天河花园	",pac_ydt
"	西樵民主停车场	",pac_ydt
"	维也纳酒店（影视城店）	",pac_ydt
"	湾华食街	",pac_ydt
"	花苑广场	",pac_ydt
"	尚客优酒店（湾华店）	",pac_ydt
"	黄岐凯民茶博城	",pac_ydt
"	沙富村	",pac_ydt
"	共和商厦	",pac_ydt
"	和顺灶岗村	",pac_ydt
"	阳光嘉苑外围停车场	",pac_ydt
"	东莞富民海运	",pac_ydt
"	桂南星晴公馆	",pac_ydt
"	九龙新天地	",pac_ydt
"	禄福山庄	",pac_ydt
"	悦莹楼	",pac_ydt
"	坦西农贸市场	",pac_ydt
"	三水乐平三江村	",pac_ydt
"	三水乐平古灶村	",pac_ydt
"	紫岭东路9-11号停车场	",pac_ydt
"	中山市东区三溪村三号停车场	",pac_ydt
"	有得停穗盐路停车场	",pac_ydt
"	西樵崇南新庄	",pac_ydt
"	西樵大庄梁村	",pac_ydt
"	罗村水上乐园2号	",pac_ydt
"	三水乐平横岗村	",pac_ydt
"	金沙洲浔峰山西路停车场	",pac_ydt
"	卓远景峰	",pac_ydt
"	官窑厚东村	",pac_ydt
"	东莞鑫浩源-下汴一区	",pac_ydt
"	东莞鑫浩源-河田	",pac_ydt
"	东莞鑫浩源-杨屋第四工业区	",pac_ydt
"	东莞鑫浩源-下汴宿舍区	",pac_ydt
"	东莞鑫浩源-下汴六区	",pac_ydt
"	东莞鑫浩源-下汴七区	",pac_ydt
"	东莞鑫浩源-下汴二区	",pac_ydt
"	集一工业园门前停车场	",pac_ydt
"	东莞长安沙埔头南	",pac_ydt
"	中山市东区三溪村二号停车场	",pac_ydt
"	勒南公舍	",pac_ydt
"	中山市东区三溪村一号停车场	",pac_ydt
"	中山大涌镇南村市场旧米机地停车场	",pac_ydt
"	领地海纳君庭	",pac_ydt
"	平东大道停车场	",pac_ydt
"	崇南三四五经济合作社	",pac_ydt
"	花苑广场外围	",pac_ydt
"	丹灶美满居停车场	",pac_ydt
"	华涌商业楼	",pac_ydt
"	工业大道11号仓	",pac_ydt
"	天华广场	",pac_ydt
"	云浮市新世纪广场车库停车场	",pac_ydt
"	乐从禧骐工业园	",pac_ydt
"	平胜生龙村	",pac_ydt
"	高明富兴食街	",pac_ydt
"	豪俊材料城	",pac_ydt
"	龙江人民路车场	",pac_ydt
"	聚龙村	",pac_ydt
"	同庆路车场	",pac_ydt
"	A31聚龙北村口车场	",pac_ydt
"	高洁商务中心	",pac_ydt
"	中山市南区祈安苑外围停车场	",pac_ydt
"	盐步桥底停车场	",pac_ydt
"	香榭花城商业广场	",pac_ydt
"	盈品充电站	",pac_ydt
"	阳光嘉苑外围	",pac_ydt
"	金贸首站	",pac_ydt
"	九江花卉盆景园	",pac_ydt
"	大良东城广场	",pac_ydt
"	富丽华商业楼停车场	",pac_ydt
"	中山市南区情景路加油站侧地块停车场	",pac_ydt
"	黄岐桥底	",pac_ydt
"	半坑工业区	",pac_ydt
"	世博广场充电站	",pac_ydt
"	平洲7天酒店	",pac_ydt
"	百花时代露天停车场	",pac_ydt
"	广体人恒温游泳馆	",pac_ydt
"	阳光嘉苑负二地库	",pac_ydt
"	阳光嘉苑负一地库	",pac_ydt
"	黄岐三乡停车场	",pac_ydt
"	恒福星汇国际公馆	",pac_ydt
"	耀胜潮车馆停车场	",0
"	塘新中路月明轩侧停车场	",pac_ydt
"	平洲博雅学校	",pac_ydt
"	御景名门东侧西路停车场	",pac_ydt
"	盐步中心小学对面	",pac_ydt
"	丹灶海安路1号车场	",pac_ydt
"	丹灶海安路2号车场	",pac_ydt
"	阳光江城区美银湾度假公寓	",pac_ydt
"	金沙洲白沙车充电站	",pac_ydt
"	大良红岗车场	",pac_ydt
"	罗村华仔美食店	",pac_ydt
"	华夏芯谷园	",pac_ydt
"	和华180购物公园	",pac_ydt
"	罗村尚达停车场	",pac_ydt
"	三水西南营头市场	",pac_ydt
"	洲村充电站	",pac_ydt
"	骏隆大厦停车场	",pac_ydt
"	方基涌大街停车场	",pac_ydt
"	盐步小方北	",pac_ydt
"	启源广场	",pac_ydt
"	冬宝海鲜酒家（云来轩）店	",pac_ydt
"	乐从金威名苑露天车场	",pac_ydt
"	七天酒店（卫国路店）	",pac_ydt
"	三水三江商业广场	",pac_ydt
"	顺成顺融城停车场	",0
"	富丽大酒店	",pac_ydkj
"	鸿业城市花园露天车场6号岗	",pac_ydkj
"	星河名居临街停车场	",pac_ydkj
"	江南名居临街停车场	",pac_ydkj
"	南方医科大学顺德医院	",pac_ydkj
"	简平路（怡海路--佛平路）（东小片区）（8）	",pac_ydkj
"	庆平路(简平路--平海路)（东小片区）	",pac_ydkj
"	I简平路1	",pac_ydkj
"	大良嘉仑台云车场	",pac_ydkj
"	西樵山南门区域停车场	",pac_ydkj
"	普君新城社区二	",pac_ydkj
"	美思汇广场	",pac_ydkj
"	1506创意城A区停车场	",pac_ydkj
"	海汇广场	",pac_ydkj
"	南海万科写字楼车场	",pac_ydkj
"	新中源地下停车场	",pac_ydkj
"	均安大丛园林	",pac_ydkj
"	E桂城税南S	",pac_ydkj
"	宏岗商业楼	",pac_ydkj
"	顺德东城酒楼	",pac_ydkj
"	丽枫酒店	",pac_ydkj
"	汇翠停车场	",pac_ydkj
"	佛山南海怡海港新能源充电桩车场	",pac_ydkj
"	西樵假日特区	",pac_ydkj
"	海四路4H	",pac_ydkj
"	南海九江依云公馆二期车场	",pac_ydkj
"	瀚天科技城B2停车场	",pac_ydkj
"	南庄维也纳智好酒店	",pac_ydkj
"	旺东假日酒店	",pac_ydkj
"	K21创意产业园停车场	",pac_ydkj
"	佛山顺德乐从中欧电商城	",pac_ydkj
"	南海九江依云公馆一期车场	",pac_ydkj
"	嘉港市场	",pac_ydkj
"	朗丰工业园	",pac_ydkj
"	华泓商业城	",pac_ydkj
"	佛山泰陶卫浴停车场	",pac_ydkj
"	实验幼儿园北侧间隔路（东小片区）	",pac_ydkj
"	沙涌市场	",pac_ydkj
"	西樵镇崇南第十六队综合楼	",pac_ydkj
"	鹿璟村南侧间隔路（东小片区）（2）	",pac_ydkj
"	D海四路2H	",pac_ydkj
"	南海妇幼保健院西侧间隔路（东小片区）（3）	",pac_ydkj
"	百花广场地库停车场	",pac_ydkj
"	高明新亨村	",pac_ydkj
"	佛山新城图书馆	",pac_ydkj
"	B灯湖东2S	",pac_ydkj
"	佛山四季小筑精品酒店	",pac_ydkj
"	中汇大厦	",pac_ydkj
"	塘头村	",pac_ydkj
"	汇翠珠宝广场A座停车场	",pac_ydkj
"	百盛达君玉酒店	",pac_ydkj
"	怡翠尊堤陶园	",pac_ydkj
"	夏平西路2H	",pac_ydkj
"	I简平路3	",pac_ydkj
"	鸿业现代城负2停车场	",pac_ydkj
"	西约村	",pac_ydkj
"	坑田工业区	",pac_ydkj
"	鸿业城市花园露天停车场	",pac_ydkj
"	艾摩尔酒店	",pac_ydkj
"	狮山南园美食城	",pac_ydkj
"	四会水仙Go泊停车场	",pac_ydkj
"	南方衡器厂	",pac_ydkj
"	佛山南庄雄发美食车场	",pac_ydkj
"	E锦园路1T	",pac_ydkj
"	佛山健翔医院	",pac_ydkj
"	龙江龙成国际	",pac_ydkj
"	农行顺德分行路面停车场	",pac_ydkj
"	怡翠尊堤荟园	",pac_ydkj
"	E南六路4L	",pac_ydkj
"	文华公园P4停车场	",pac_ydkj
"	东成立亿	",pac_ydkj
"	东方锦华里停车场	",pac_ydkj
"	东建世纪西广场地库停车场	",pac_ydkj
"	洞庭商业广场	",pac_ydkj
"	华亚国际金融大厦	",pac_ydkj
"	佛山新媒体产业园	",pac_ydkj
"	怡翠尊堤荟园5座	",pac_ydkj
"	佛山王府井紫薇港-MPGS	",pac_ydkj
"	西南车场	",pac_ydkj
"	东江国际酒店	",0
"	金桂园停车场	",pac_ydkj
"	南海环宇城货车通道	",pac_ydkj
"	H天佑六1S	",pac_ydkj
"	塱宝西路38号园区停车场	",pac_ydkj
"	ACE国际运动中心MALL	",pac_ydkj
"	里水新天地广场	",pac_ydkj
"	西樵大益茶	",pac_ydkj
"	I实高华翠3H	",pac_ydkj
"	里水白塔村	",pac_yxkj
"	听音广场负一、负二层停车场	",pac_ydkj
"	汇银奥林匹克花园	",pac_ydkj
"	江南名居正门商业街停车场	",pac_ydkj
"	金融车场	",pac_ydkj
"	藏美综合楼	",pac_ydkj
"	佛山地质大院	",pac_ydkj
"	东建大厦北侧停车场	",pac_ydkj
"	金卡顿酒店	",pac_ydkj
"	华润家用电器厂	",pac_ydkj
"	劳动车场	",pac_ydkj
"	高亿创新产业园	",pac_ydkj
"	世博金融中心东广场	",pac_ydkj
"	紫南文化艺术中心	",pac_ydkj
"	国鑫停车场	",pac_ydkj
"	佛山高新区科技产业园	",pac_ydkj
"	致盈广场	",pac_ydkj
"	嘉怡花园	",pac_ydkj
"	大德综合城	",pac_ydkj
"	志元五金厂	",pac_ydkj
"	佛山道济坊	",pac_ydkj
"	和华希尔顿酒店	",pac_ydkj
"	广佛伟创汇	",pac_ydkj
"	G桂花市场H	",pac_ydkj
"	东建同济广场	",pac_ydkj
"	D海辉路1T	",pac_ydkj
"	潭清里停车场	",pac_ydkj
"	东约村	",pac_ydkj
"	鹭洲集市	",pac_ydkj
"	四会贵华路Go泊停车场	",pac_ydkj
"	美豪酒店Go泊停车场	",pac_ydkj
"	南六路5L	",pac_ydkj
"	绿茵商业中心	",pac_ydkj
"	北约充电站	",pac_ydkj
"	鄱阳城	",pac_ydkj
"	佰创停车西北村北头片停车场	",pac_ydkj
"	招商银行京华广场支行	",pac_ydkj
"	丽港Go泊停车场	",pac_ydkj
"	碧桂园华亚广场	",pac_ydkj
"	I平海路2	",pac_ydkj
"	怡翠尊堤熙园	",pac_ydkj
"	佳高酒店	",pac_ydkj
"	索顿酒店	",pac_ydkj
"	石湾卫浴城停车场	",pac_ydkj
"	河滨停车场	",pac_ydkj
"	顺德碧云轩	",pac_ydkj
"	456蚕种场文化创意园	",pac_ydkj
"	新DNA购物中心	",pac_ydkj
"	清华园	",pac_ydkj
"	佛山生命科学园	",pac_ydkj
"	叙福楼海鲜酒家（南庄店）	",pac_ydkj
"	穆南村停车场	",pac_ydkj
"	佛山模具城	",pac_ydkj
"	怡翠尊堤熙园11座	",pac_ydkj
"	创杰大厦	",pac_ydkj
"	维也纳国际酒店(大沥中心店)	",pac_ydkj
"	弼唐村停车场	",pac_ydkj
"	佛山新城文化中心停车场	",pac_ydkj
"	华南生命科学园	",pac_ydkj
"	季华花园5期	",pac_ydkj
"	红运里广场	",pac_ydkj
"	西华里饮食城	",pac_ydkj
"	御堡国际商务中心露天停车场	",pac_ydkj
"	I妇幼西1	",0
"	杏坛高赞市场	",pac_ydkj
"	宝盈国际广场	",pac_ydkj
"	潮州美食城	",pac_ydkj
"	天佑五路2T	",pac_ydkj
"	盐步联安停车场	",pac_ydkj
"	E灯湖东3S	",pac_ydkj
"	H天佑七1H	",pac_ydkj
"	禾仰广场	",pac_ydkj
"	北约室外	",pac_ydkj
"	环球国际停车场	",pac_ydkj
"	西体Go泊停车场	",pac_ydkj
"	B消防大队S	",0
